Symbol,Name
A005930,삼성전자
A000660,SK하이닉스
A373220,LG에너지솔루션
A207940,삼성바이오로직스
A005380,현대차
A000270,기아
A068270,셀트리온
A005490,POSCO홀딩스
A051910,LG화학
A035420,NAVER
A028260,삼성물산
A105560,KB금융
A006400,삼성SDI
A003670,포스코퓨처엠
A012330,현대모비스
A035720,카카오
A055550,신한지주
A032830,삼성생명
A086790,하나금융지주
A138040,메리츠금융지주
A015760,한국전력
A066570,LG전자
A003550,LG
A000810,삼성화재
A034730,SK
A323410,카카오뱅크
A033780,KT&G
A018260,삼성에스디에스
A011200,HMM
A096770,SK이노베이션
A450080,에코프로머티
A024110,기업은행
A017670,SK텔레콤
A316140,우리금융지주
A259960,크래프톤
A012450,한화에어로스페이스
A030200,KT
A402340,SK스퀘어
A034020,두산에너빌리티
A329180,HD현대중공업
A009150,삼성전기
A047050,포스코인터내셔널
A042700,한미반도체
A010130,고려아연
A010950,S-Oil
A003490,대한항공
A022100,포스코DX
A009540,HD한국조선해양
A352820,하이브
A086280,현대글로비스
A001570,금양
A326030,SK바이오팜
A042660,한화오션
A005830,DB손해보험
A010140,삼성중공업
A090430,아모레퍼시픽
A161390,한국타이어앤테크놀로지
A066970,엘앤에프
A005070,코스모신소재
A000100,유한양행
A267250,HD현대
A377300,카카오페이
A034220,LG디스플레이
A051900,LG생활건강
A011170,롯데케미칼
A454910,두산로보틱스
A047810,한국항공우주
A361610,SK아이이테크놀로지
A028050,삼성엔지니어링
A006800,미래에셋증권
A251270,넷마블
A241560,두산밥캣
A302440,SK바이오사이언스
A267260,HD현대일렉트릭
A009830,한화솔루션
A029780,삼성카드
A078930,GS
A004020,현대제철
A011070,LG이노텍
A032640,LG유플러스
A097950,CJ제일제당
A011780,금호석유
A036570,엔씨소프트
A128940,한미약품
A307950,현대오토에버
A071050,한국금융지주
A005940,NH투자증권
A079550,LIG넥스원
A021240,코웨이
A180640,한진칼
A000720,현대건설
A035250,강원랜드
A011790,SKC
A016360,삼성증권
A271560,오리온
A003410,쌍용C&E
A064350,현대로템
A272210,한화시스템
A039490,키움증권
A018880,한온시스템
A004990,롯데지주
A006260,LS
A000120,CJ대한통운
A001450,현대해상
A088350,한화생명
A001040,CJ
A175330,JB금융지주
A036460,한국가스공사
A052690,한전기술
A008930,한미사이언스
A383220,F&F
A138930,BNK금융지주
A002380,KCC
A081660,휠라홀딩스
A028670,팬오션
A010620,현대미포조선
A007660,이수페타시스
A010120,LS ELECTRIC
A007070,GS리테일
A008770,호텔신라
A000880,한화
A112610,씨에스윈드
A004370,농심
A002790,아모레G
A014680,한솔케미칼
A012750,에스원
A298040,효성중공업
A023530,롯데쇼핑
A282330,BGF리테일
A030000,제일기획
A000990,DB하이텍
A278470,에이피알
A139480,이마트
A457190,이수스페셜티케미컬
A111770,영원무역
A006040,동원산업
A009420,한올바이오파마
A010060,OCI홀딩스
A073240,금호타이어
A000150,두산
A026960,동서
A020150,롯데에너지머티리얼즈
A002710,TCC스틸
A051600,한전KPS
A004170,신세계
A000240,한국앤컴퍼니
A001440,대한전선
A042670,HD현대인프라코어
A047040,대우건설
A017800,현대엘리베이
A007310,오뚜기
A145720,덴티움
A204320,HL만도
A011210,현대위아
A139130,DGB금융지주
A298050,효성첨단소재
A005850,에스엘
A003620,KG모빌리티
A001740,SK네트웍스
A003230,삼양식품
A018670,SK가스
A006280,녹십자
A006110,삼아알미늄
A137310,에스디바이오센서
A248070,솔루엠
A000080,하이트진로
A003690,코리안리
A185750,종근당
A005420,코스모화학
A375500,DL이앤씨
A069620,대웅제약
A012510,더존비즈온
A006360,GS건설
A103140,풍산
A009970,영원무역홀딩스
A336260,두산퓨얼셀
A108320,LX세미콘
A003090,대웅
A004800,효성
A004000,롯데정밀화학
A294870,HDC현대산업개발
A298020,효성티앤씨
A004490,세방전지
A014820,동원시스템즈
A285130,SK케미칼
A069960,현대백화점
A280360,롯데웰푸드
A192820,코스맥스
A353200,대덕전자
A005300,롯데칠성
A009240,한샘
A161890,한국콜마
A039130,하나투어
A008730,율촌화학
A001120,LX인터내셔널
A082640,동양생명
A023590,다우기술
A267270,HD현대건설기계
A120110,코오롱인더
A017860,DS단석
A192080,더블유게임즈
A089860,롯데렌탈
A281820,케이씨텍
A000210,DL
A003530,한화투자증권
A001800,오리온홀딩스
A003030,세아제강지주
A000670,영풍
A003540,대신증권
A181710,NHN
A336370,솔루스첨단소재
A093370,후성
A000400,롯데손해보험
A006650,대한유화
A214320,이노션
A089590,제주항공
A006120,SK디스커버리
A002350,넥센타이어
A003240,태광산업
A003850,보령
A271940,일진하이솔루스
A007340,DN오토모티브
A010780,아이에스동서
A085620,미래에셋생명
A020560,아시아나항공
A195870,해성디에스
A300720,한일시멘트
A001430,세아베스틸지주
A069260,TKG휴켐스
A002840,미원상사
A005250,녹십자홀딩스
A009900,명신산업
A009450,경동나비엔
A100090,SK오션플랜트
A001060,JW중외제약
A114090,GKL
A170900,동아에스티
A000640,동아쏘시오홀딩스
A456040,OCI
A105630,한세실업
A001530,DI동일
A192650,드림텍
A016380,KG스틸
A161000,애경케미칼
A032350,롯데관광개발
A079160,CJ CGV
A025540,한국단자
A064960,SNT모티브
A268280,미원에스씨
A001680,대상
A344820,KCC글라스
A003280,흥아해운
A403550,쏘카
A082740,HSD엔진
A005880,대한해운
A005440,현대지에프홀딩스
A030190,NICE평가정보
A000070,삼양홀딩스
A019170,신풍제약
A272450,진에어
A001720,신영증권
A381970,케이카
A003570,SNT다이내믹스
A049770,동원F&B
A030610,교보증권
A178920,PI첨단소재
A007700,F&F홀딩스
A192400,쿠쿠홀딩스
A460860,동국제강
A090460,비에이치
A033240,자화전자
A103590,일진전기
A000370,한화손해보험
A057050,현대홈쇼핑
A229640,LS에코에너지
A031430,신세계인터내셔날
A091810,티웨이항공
A210980,SK디앤디
A002240,고려제강
A286940,롯데정보통신
A014830,유니드
A383800,LX홀딩스
A003470,유안타증권
A017960,한국카본
A005180,빙그레
A200880,서연이화
A071320,지역난방공사
A034310,NICE
A005610,SPC삼립
A950210,프레스티지바이오파마
A001470,삼부토건
A145990,삼양사
A900140,엘브이엠씨홀딩스
A012630,HDC
A020000,한섬
A007810,코리아써키트
A003000,부광약품
A058650,세아홀딩스
A017940,E1
A034120,SBS
A377740,바이오노트
A284740,쿠쿠홈시스
A002310,아세아제지
A097520,엠씨넥스
A005810,풍산홀딩스
A002030,아세아
A249420,일동제약
A001390,KG케미칼
A183190,아세아시멘트
A123890,한국자산신탁
A001940,KISCO홀딩스
A011930,신성이엔지
A003920,남양유업
A010690,화신
A004690,삼천리
A241590,화승엔터프라이즈
A018250,애경산업
A017810,풀무원
A093050,LF
A016800,퍼시스
A084690,대상홀딩스
A006220,제주은행
A453340,현대그린푸드
A126560,현대퓨처넷
A306200,세아제강
A001200,유진투자증권
A003300,한일홀딩스
A029530,신도리코
A036530,SNT홀딩스
A033270,유나이티드제약
A009290,광동제약
A003520,영진약품
A025860,남해화학
A027410,BGF
A002320,한진
A007690,국도화학
A093230,이아이디
A108670,LX하우시스
A004700,조광피혁
A003160,디아이
A001340,백광산업
A060980,HL홀딩스
A000430,대원강업
A004430,송원산업
A003960,사조대림
A000490,대동
A011500,한농화성
A075580,세진중공업
A005090,SGC에너지
A005950,이수화학
A003220,대원제약
A005690,파미셀
A002960,한국쉘석유
A001820,삼화콘덴서
A001780,알루코
A012030,DB
A000680,LS네트웍스
A072710,농심홀딩스
A298690,에어부산
A104700,한국철강
A084010,대한제강
A001460,BYC
A126720,수산인더스트리
A001500,현대차증권
A092220,KEC
A077970,STX엔진
A003120,일성신약
A001510,SK증권
A029460,케이씨
A004380,삼익THK
A001790,대한제당
A058430,포스코스틸리온
A000540,흥국화재
A122900,아이마켓코리아
A001630,종근당홀딩스
A006390,한일현대시멘트
A024720,한국콜마홀딩스
A017390,서울가스
A000480,CR홀딩스
A026890,스틱인베스트먼트
A071970,STX중공업
A013890,지누스
A005010,휴스틸
A084680,이월드
A008490,서흥
A097230,HJ중공업
A001270,부국증권
A115390,락앤락
A452260,한화갤러리아
A102460,이연제약
A005500,삼진제약
A272550,삼양패키징
A009680,모토닉
A138490,코오롱플라스틱
A002810,삼영무역
A011810,STX
A004560,현대비앤지스틸
A005390,신성통상
A095720,웅진씽크빅
A007570,일양약품
A000020,동화약품
A016580,환인제약
A037560,LG헬로비전
A003580,HLB글로벌
A053210,스카이라이프
A034830,한국토지신탁
A009160,SIMPAC
A008350,남선알미늄
A001230,동국홀딩스
A002150,도화엔지니어링
A226320,잇츠한불
A037270,YG PLUS
A018470,조일알미늄
A016590,신대양제지
A298000,효성화학
A322000,HD현대에너지솔루션
A213500,한솔제지
A035150,백산
A007860,서연
A011280,태림포장
A011760,현대코퍼레이션
A293480,하나제약
A092230,KPX홀딩스
A037710,광주신세계
A096760,JW홀딩스
A130660,한전산업
A002900,TYM
A004360,세방
A271980,제일약품
A000050,경방
A001130,대한제분
A036420,콘텐트리중앙
A015360,예스코홀딩스
A071840,롯데하이마트
A001520,동양
A102260,동성케미컬
A030210,다올투자증권
A450140,코오롱모빌리티그룹
A005720,넥센
A001250,GS글로벌
A117580,대성에너지
A008060,대덕
A194370,제이에스코퍼레이션
A025000,KPX케미칼
A068290,삼성출판사
A109070,주성코퍼레이션
A019680,대교
A462520,조선내화
A039570,HDC랩스
A006840,AK홀딩스
A035510,신세계 I&C
A015860,일진홀딩스
A002020,코오롱
A004980,성신양회
A003200,일신방직
A020120,키다리스튜디오
A004710,한솔테크닉스
A000140,하이트진로홀딩스
A095570,AJ네트웍스
A074610,이엔플러스
A339770,교촌에프앤비
A090350,노루페인트
A007160,사조산업
A234080,JW생명과학
A044450,KSS해운
A011330,유니켐
A007460,에이프로젠
A000500,가온전선
A001080,만호제강
A081000,일진다이아
A002100,경농
A011000,진원생명과학
A027970,한국제지
A028100,동아지질
A267850,아시아나IDT
A005680,삼영전자
A002390,한독
A053690,한미글로벌
A016610,DB금융투자
A009580,무림P&P
A460850,동국씨엠
A077500,유니퀘스트
A000390,삼화페인트
A092790,넥스틸
A016450,한세예스24홀딩스
A100250,진양홀딩스
A004250,NPC
A107590,미원홀딩스
A010100,한국무브넥스
A002990,금호건설
A015890,태경산업
A006060,화승인더
A363280,티와이홀딩스
A014280,금강공업
A317400,자이에스앤디
A003070,코오롱글로벌
A005430,한국공항
A139990,아주스틸
A136490,선진
A001360,삼성제약
A105840,우진
A214390,경보제약
A092200,디아이씨
A010580,에스엠벡셀
A128820,대성산업
A078520,에이블씨엔씨
A282690,동아타이어
A002620,제일파마홀딩스
A083420,그린케미칼
A010820,퍼스텍
A033530,세종공업
A100840,SNT에너지
A000320,노루홀딩스
A011700,한신기계
A014580,태경비케이
A013570,디와이
A004090,한국석유
A101530,해태제과식품
A015230,대창단조
A007210,벽산
A001020,페이퍼코리아
A134380,미원화학
A058850,KTcs
A000520,삼일제약
A089470,HDC현대EP
A006890,태경케미컬
A002170,삼양통상
A012320,경동인베스트
A003830,대한화섬
A008700,아남전자
A031440,신세계푸드
A024900,덕양산업
A016710,대성홀딩스
A017370,우신시스템
A002780,진흥기업
A000970,한국주철관
A012610,경인양행
A000860,강남제비스코
A079430,현대리바트
A000700,유수홀딩스
A070960,용평리조트
A033920,무학
A094280,효성ITX
A006490,인스코비
A111380,동인기연
A004970,신라교역
A210540,디와이파워
A007540,샘표
A008260,NI스틸
A003720,삼영
A079980,휴비스
A000180,성창기업지주
A025820,이구산업
A003650,미창석유
A017900,광전자
A214420,토니모리
A004080,신흥
A009270,신원
A002210,동성제약
A008040,사조동아원
A014530,극동유화
A001750,한양증권
A214330,금호에이치티
A012170,아센디오
A003460,유화증권
A063160,종근당바이오
A002700,신일전자
A004150,한솔홀딩스
A013580,계룡건설
A017550,수산중공업
A004830,덕성
A024090,디씨엠
A372910,한컴라이프케어
A023800,인지컨트롤스
A014160,대영포장
A248170,샘표식품
A009470,삼화전기
A004840,DRB동일
A012800,대창
A016740,두올
A120030,조선선재
A004310,현대약품
A163560,동일고무벨트
A033180,KH 필룩스
A010040,한국내화
A032560,황금에스티
A047400,유니온머티리얼
A002200,한국수출포장
A005960,동부건설
A002450,삼익악기
A036580,팜스코
A019440,세아특수강
A012600,청호ICT
A023000,삼원강재
A009070,KCTC
A267290,경동도시가스
A003060,에이프로젠바이오로직스
A004890,동일산업
A034590,인천도시가스
A055490,테이팩스
A004100,태양금속
A011690,와이투솔루션
A007280,한국특강
A000230,일동홀딩스
A078000,텔코웨어
A005870,휴니드
A003350,한국화장품제조
A067830,세이브존I&C
A035000,HS애드
A002460,화성산업
A002600,조흥
A058860,KTis
A264900,크라운제과
A010660,화천기계
A004720,팜젠사이언스
A227840,현대코퍼레이션홀딩스
A007980,태평양물산
A023450,동남합성
A017040,광명전기
A012690,모나리자
A004140,동방
A003480,한진중공업홀딩스
A001380,SG글로벌
A013520,화승코퍼레이션
A011150,CJ씨푸드
A123690,한국화장품
A016880,웅진
A044820,코스맥스비티아이
A002720,국제약품
A101140,인바이오젠
A006740,영풍제지
A004540,깨끗한나라
A015590,KIB플러그에너지
A006370,대구백화점
A031820,콤텍시스템
A092440,기신정기
A244920,에이플러스에셋
A009410,태영건설
A003610,방림
A004060,SG세계물산
A023810,인팩
A308170,씨티알모빌리티
A009200,무림페이퍼
A006340,대원전선
A145210,다이나믹디자인
A016090,대현
A005740,크라운해태홀딩스
A007110,일신석재
A021820,세원정공
A001560,제일연마
A011300,성안
A007590,동방아그로
A005800,신영와코루
A001290,상상인증권
A006880,신송홀딩스
A013870,지엠비코리아
A000910,유니온
A008970,동양철관
A010960,삼호개발
A010600,웰바이오텍
A018500,동원금속
A378850,화승알앤에이
A000220,유유제약
A034300,신세계건설
A006090,사조오양
A004770,써니전자
A004960,한신공영
A041650,상신브레이크
A003780,진양산업
A075180,새론오토모티브
A014790,HL D&I
A100220,비상교육
A002140,고려산업
A011420,갤럭시아에스엠
A000590,CS홀딩스
A004910,조광페인트
A058730,다스코
A027740,마니커
A002920,유성기업
A024890,대원화성
A002760,보락
A069460,대호에이엘
A085310,엔케이
A017180,명문제약
A119650,KC코트렐
A011230,삼화전자
A118000,에스메디
A000850,화천기공
A002220,한일철강
A003010,혜인
A102280,쌍방울
A008110,대동전자
A000890,보해양조
A004270,남성
A129260,인터지스
A000650,천일고속
A002360,SH에너지화학
A009810,플레이그램
A111110,호전실업
A155660,DSR
A013700,까뮤이앤씨
A004410,서울식품
A001550,조비
A009180,한솔로지스틱스
A006660,삼성공조
A004450,삼화왕관
A002630,오리엔트바이오
A014440,영보화학
A001260,남광토건
A026940,부국철강
A090080,평화산업
A019180,티에이치엔
A001620,케이비아이동국실업
A008250,이건산업
A025750,한솔홈데코
A025560,미래산업
A008870,금비
A013360,일성건설
A009770,삼정펄프
A023350,한국종합기술
A009190,대양금속
A009440,KC그린홀딩스
A465770,STX그린로지스
A004920,씨아이테크
A008420,문배철강
A071090,하이스틸
A006980,우성
A011390,부산산업
A069640,한세엠케이
A014710,사조씨푸드
A005750,대림B&Co
A021050,서원
A092780,동양피스톤
A069730,DSR제강
A003560,IHQ
A002880,대유에이텍
A009320,대우부품
A003080,성보화학
A014130,한익스프레스
A446070,유니드비티플러스
A143210,핸즈코퍼레이션
A123700,SJM
A025530,SJM홀딩스
A005360,모나미
A014990,인디에프
A091090,세원이앤씨
A010640,진양폴리
A004440,삼일씨엔에스
A007610,선도전기
A012160,영흥
A134790,시디즈
A023960,에쓰씨엔지니어링
A009460,한창제지
A009310,참엔지니어링
A049800,우진플라임
A004870,티웨이홀딩스
A090370,메타랩스
A033250,체시스
A015260,에이엔피
A020760,일진디스플
A023150,MH에탄올
A012280,영화금속
A072130,유엔젤
A012200,계양전기
A051630,진양화학
A006570,대림통상
A010770,평화홀딩스
A000040,KR모터스
A013000,세우글로벌
A006200,한국전자홀딩스
A005320,국동
A005820,원림
A002410,범양건영
A000760,이화산업
A093240,형지엘리트
A001070,대한방직
A024070,WISCOM
A010400,우진아이엔에스
A005030,부산주공
A002690,동일제강
A000950,전방
A133820,화인베스틸
A001420,태원물산
A084670,동양고속
A084870,TBH글로벌
A009140,경인전자
A014910,성문전자
A002420,세기상사
A002070,비비안
A003680,한성기업
A008600,윌비스
A002820,SUN&L
A015020,이스타코
A030720,동원수산
A001140,국보
A000300,대유플러스
A011090,에넥스
A002870,신풍
A007120,미래아이앤지
A006380,카프로
A025890,한국주강
A044380,주연테크
A025620,제이준코스메틱
A019490,하이트론
A001210,금호전기
A088790,진도
A010420,한솔PNS
A001770,SHD
A005110,한창
A030790,비케이탑스
A071950,코아스
A008500,일정실업
